ageID,head_campus_ageID,school_name,street,town_suburb,postcode,level_of_schooling,school_gender,sector,systemic,school_affiliation,diocese,sys_num,sys_desc,school _specialty_indicator,campus_level,school_url,lga,electorate_code,fed_electorate,SA3,SA4,ASGS_remoteness,latitude,longitude
1302,1302,Abbotsleigh,1666 Pacific Highway,Wahroonga,2076,Combined,Female,Independent,Non-Systemic,Anglican,,0,,Non special,Combined,http://www.abbotsleigh.nsw.edu.au,Ku-ring-gai (A),Ku-ring-gai,Bradfield,Ku-ring-gai,Sydney - North Sydney and Hornsby,Major Cities of Australia,-33.719891,151.111345
1305,1305,All Hallows School,Bayly Street,Gulgong,2852,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Bathurst,4101,Catholic System NSW,Non special,Primary,http://www.allhallowsgulgong.catholic.edu.au/,Mid-Western Regional (A),Dubbo,Calare,Lithgow - Mudgee,Central West,Outer Regional Australia,-32.36134,149.530965
1306,1306,All Hallows Catholic Primary School,1 Halley St,Five Dock,2046,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Sydney,4101,Catholic System NSW,Non special,Primary,http://ahpsfivedock.catholic.edu.au,Canada Bay (A),Drummoyne,Reid,Canada Bay,Sydney - Inner West,Major Cities of Australia,-33.860897,151.133872
1307,1307,All Saints College,Ophir Road,Bathurst,2795,Combined,Co-ed,Independent,Non-Systemic,Anglican,,0,,Non special,Combined,http://www.saints.nsw.edu.au,Bathurst Regional (A),Bathurst,Calare,Bathurst,Central West,Inner Regional Australia,-33.399074,149.564889
1309,1309,All Saints Primary School,Murray Street,Tumbarumba,2653,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Wagga Wagga,4101,Catholic System NSW,Non special,Primary,http://www.asww.catholic.edu.au,Tumbarumba (A),Albury,Eden-Monaro,Tumut - Tumbarumba,Riverina,Outer Regional Australia,-35.775637,148.012444
1311,1311,Arden Anglican School,39-43 Wongala Crescent,Beecroft,2119,Combined,Co-ed,Independent,Non-Systemic,Anglican,,0,,Non special,Primary,http://www.arden.nsw.edu.au,Hornsby (A),Epping,Berowra,Pennant Hills - Epping,Sydney - Ryde,Major Cities of Australia,-33.746393,151.065133
1312,1312,Ascham School Ltd,188 New South Head Rd,Edgecliff,2027,Combined,Female,Independent,Non-Systemic,Non-Denominational,,0,,Non special,Combined,http://www.ascham.nsw.edu.au,Woollahra (A),Vaucluse,Wentworth,Eastern Suburbs - North,Sydney - Eastern Suburbs,Major Cities of Australia,-33.877077,151.236237
1313,1313,The Assumption School,192 Mitre Street,Bathurst West,2795,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Bathurst,4101,Catholic System NSW,Non special,Primary,http://www.assumption-bathurst.nsw.edu.au,Bathurst Regional (A),Bathurst,Calare,Bathurst,Central West,Inner Regional Australia,-33.411773,149.566954
1319,1319,Bethlehem College,18 Bland Street,Ashfield,2131,Secondary,Female,Catholic,Systemic,Catholic (Roman),Sydney,4101,Catholic System NSW,Non special,Secondary,http://www.bethlehemcollege.nsw.edu.au,Ashfield (A),Summer Hill,Grayndler,Strathfield - Burwood - Ashfield,Sydney - Inner West,Major Cities of Australia,-33.885622,151.124963
1320,1320,Henschke Primary School,105 Fernleigh Road,Wagga Wagga,2650,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Wagga Wagga,4101,Catholic System NSW,Non special,Primary,http://www.hpww.catholic.edu.au,Wagga Wagga (C),Wagga Wagga,Riverina,Wagga Wagga,Riverina,Inner Regional Australia,-35.131374,147.352069
1321,1321,St Oliver's Primary School,33 Wigram Street,Harris Park,2150,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Parramatta,4101,Catholic System NSW,Non special,Primary,http://www.stoliversharrispark.catholic.edu.au,Parramatta (C),Parramatta,Parramatta,Parramatta,Sydney - Parramatta,Major Cities of Australia,-33.824516,151.008984
1322,1322,Blessed Sacrament Catholic Primary School,2 Queen Street,Clifton Gardens,2088,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Sydney,4101,Catholic System NSW,Non special,Primary,http://bscliftongardens.catholic.edu.au,Mosman (A),North Shore,Warringah,North Sydney - Mosman,Sydney - North Sydney and Hornsby,Major Cities of Australia,-33.835101,151.244538
1323,1323,Blue Mountains Grammar School,Matcham Avenue,Wentworth Falls,2782,Combined,Co-ed,Independent,Non-Systemic,Anglican,,0,,Non special,Combined,http://www.bmgs.nsw.edu.au,Blue Mountains (C),Blue Mountains,Macquarie,Blue Mountains,Sydney - Outer West and Blue Mountains,Major Cities of Australia,-33.708454,150.370541
1326,1326,Brigidine College  St Ives,325 Mona Vale Road,St Ives,2075,Secondary,Female,Independent,Non-Systemic,Catholic (Roman),,0,,Non special,Secondary,http://www.brigidine.nsw.edu.au,Ku-ring-gai (A),Davidson,Bradfield,Ku-ring-gai,Sydney - North Sydney and Hornsby,Major Cities of Australia,-33.721615,151.17269
1328,1328,Brigidine College Randwick,Aeolia Street,Randwick,2031,Secondary,Female,Catholic,Systemic,Catholic (Roman),Sydney,4101,Catholic System NSW,Non special,Secondary,http://www.bcrandwick.catholic.edu.au/,Randwick (C),Coogee,Kingsford Smith,Eastern Suburbs - South,Sydney - Eastern Suburbs,Major Cities of Australia,-33.919181,151.243928
1329,1329,St Patrick's Parish School,Vale & Murray Streets,Cooma,2630,Combined,Co-ed,Catholic,Systemic,Catholic (Roman),Canberra-Goulbu,4101,Catholic System NSW,Non special,Secondary,http://www.stpatscooma.nsw.edu.au,Cooma-Monaro (A),Monaro,Eden-Monaro,Snowy Mountains,Capital Region,Inner Regional Australia,-36.238066,149.126353
1331,1331,Catherine McAuley Westmead,Darcy Road,Westmead,2145,Secondary,Female,Catholic,Systemic,Catholic (Roman),Parramatta,4101,Catholic System NSW,Non special,Secondary,http://www.mcauleywestmead.catholic.edu.au,Parramatta (C),Seven Hills,Parramatta,Parramatta,Sydney - Parramatta,Major Cities of Australia,-33.804721,150.984486
1332,1332,Mercy Catholic College,101 Archer St,Chatswood,2067,Secondary,Female,Catholic,Systemic,Catholic (Roman),Broken Bay,4101,Catholic System NSW,Non special,Secondary,http://www.mercydbb.catholic.edu.au,Willoughby (C),Willoughby,Bradfield,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,Major Cities of Australia,-33.792968,151.184587
1333,1333,Sacred Heart School,Morris Street,Cootamundra,2590,Combined,Co-ed,Catholic,Systemic,Catholic (Roman),Canberra-Goulbu,4101,Catholic System NSW,Non special,Combined,http://www.shcoota.nsw.edu.au,Cootamundra (A),Cootamundra,Riverina,Wagga Wagga,Riverina,Inner Regional Australia,-34.634589,148.030567
1334,1334,Marian Catholic College,185 Wakaden Street,Griffith,2680,Secondary,Co-ed,Catholic,Systemic,Catholic (Roman),Wagga Wagga,4101,Catholic System NSW,Non special,Secondary,http://www.mccww.catholic.edu.au,Griffith (C),Murray,Farrer,Griffith - Murrumbidgee (West),Riverina,Outer Regional Australia,-34.286779,146.058283
1338,1338,Central Coast Adventist School,Penrose Crescent,Erina,2250,Combined,Co-ed,Independent,Systemic,Seventh Day Adventist,,0,SDA System North NSW,Non special,Combined,http://www.ccas.nsw.edu.au,Gosford (C),Terrigal,Robertson,Gosford,Central Coast,Major Cities of Australia,-33.43634,151.38973
1339,1339,Cerdon College,Sherwood Road,Merrylands,2160,Secondary,Female,Catholic,Systemic,Catholic (Roman),Parramatta,4101,Catholic System NSW,Non special,Secondary,http://www.cerdonmerrylands.catholic.edu.au,Holroyd (C),Granville,McMahon,Merrylands - Guildford,Sydney - Parramatta,Major Cities of Australia,-33.837664,150.968322
1340,1340,Chevalier College,11 Charlotte Street,Burradoo,2576,Secondary,Co-ed,Independent,Non-Systemic,Catholic (Roman),,0,,Non special,Secondary,http://www.chevalier.nsw.edu.au,Wingecarribee (A),Wollondilly,Whitlam,Southern Highlands,Southern Highlands and Shoalhaven,Inner Regional Australia,-34.506824,150.405476
1341,1341,Southern Cross Catholic Vocational College,17 Comer Street,Burwood,2134,Secondary,Co-ed,Catholic,Systemic,Catholic (Roman),Sydney,4101,Catholic System NSW,Non special,Secondary,http://www.sccvc.nsw.edu.au,Burwood (A),Strathfield,Reid,Strathfield - Burwood - Ashfield,Sydney - Inner West,Major Cities of Australia,-33.871725,151.103225
1348,1348,Christian Brothers High School,68 The Boulevarde,Lewisham,2049,Combined,Male,Independent,Non-Systemic,Catholic (Roman),,0,,Non special,Combined,http://www.cbhslewisham.nsw.edu.au/,Marrickville (A),Summer Hill,Grayndler,Strathfield - Burwood - Ashfield,Sydney - Inner West,Major Cities of Australia,-33.897142,151.145781
1349,1349,St Mary's Cathedral College,St Mary'S Road,Sydney,2000,Combined,Male,Catholic,Systemic,Catholic (Roman),Sydney,4101,Catholic System NSW,Non special,Combined,http://www.smccsydney.catholic.edu.au,Sydney (C),Sydney,Sydney,Sydney Inner City,Sydney - City and Inner South,Major Cities of Australia,-33.871288,151.213998
1351,1351,St Paul's Catholic College,Darley Road,Manly,2095,Secondary,Male,Catholic,Systemic,Catholic (Roman),Broken Bay,4101,Catholic System NSW,Non special,Secondary,http://www.stpaulsdbb.catholic.edu.au,Manly (A),Manly,Warringah,Manly,Sydney - Northern Beaches,Major Cities of Australia,-33.805199,151.291633
1354,1354,Christ The King Catholic School Bass Hill,2 Cantrell Street,Yagoona,2199,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Sydney,4101,Catholic System NSW,Non special,Primary,http://ctkbasshill.catholic.edu.au,Bankstown (C),Bankstown,Blaxland,Bankstown,Sydney - Inner South West,Major Cities of Australia,-33.906086,151.012986
1355,1355,Newcastle Grammar School,60 Newcomen St,Newcastle,2300,Combined,Co-ed,Independent,Non-Systemic,Non-Denominational,,0,,Non special,Combined,http://www.ngs.nsw.edu.au,Newcastle (C),Newcastle,Newcastle,Newcastle,Newcastle and Lake Macquarie,Major Cities of Australia,-32.929914,151.780162
1356,1356,Claremont College,30-32 Coogee Bay Road,Randwick,2031,Primary,Co-ed,Independent,Systemic,Anglican,,16718,Anglican Schools System Sydney,Non special,Primary,http://www.claremont.nsw.edu.au,Randwick (C),Coogee,Kingsford Smith,Eastern Suburbs - South,Sydney - Eastern Suburbs,Major Cities of Australia,-33.918233,151.244594
1357,1357,Kincoppal-Rose Bay School of the Sacred Heart,New South Head Road,Rose Bay,2029,Combined,Co-ed,Independent,Non-Systemic,Catholic (Roman),,0,,Non special,Combined,http://www.krb.nsw.edu.au/,Woollahra (A),Vaucluse,Wentworth,Eastern Suburbs - North,Sydney - Eastern Suburbs,Major Cities of Australia,-33.864133,151.271996
1358,1358,Coogee Boys' Preparatory School,Cnr Cook and Alison Road,Randwick,2031,Primary,Male,Independent,Non-Systemic,Non-Denominational,,0,,Non special,Primary,http://www.coogeeprep.nsw.edu.au,Randwick (C),Coogee,Kingsford Smith,Eastern Suburbs - South,Sydney - Eastern Suburbs,Major Cities of Australia,-33.912015,151.238686
1359,1359,Corpus Christi Catholic Primary School,17 Link Road,St Ives,2075,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Broken Bay,4101,Catholic System NSW,Non special,Primary,http://www.ccsidbb.catholic.edu.au,Ku-ring-gai (A),Davidson,Bradfield,Ku-ring-gai,Sydney - North Sydney and Hornsby,Major Cities of Australia,-33.728293,151.16603
1360,1360,Corpus Christi Primary School,Platt Street,Waratah,2298,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Maitland,4101,Catholic System NSW,Non special,Primary,http://waratah.catholic.edu.au,Newcastle (C),Wallsend,Newcastle,Newcastle,Newcastle and Lake Macquarie,Major Cities of Australia,-32.900845,151.723195
1361,1361,Cranbrook School,5 Victoria Road,Bellevue Hill,2023,Combined,Male,Independent,Non-Systemic,Anglican,,0,,Non special,Secondary,http://www.cranbrook.nsw.edu.au,Woollahra (A),Vaucluse,Wentworth,Eastern Suburbs - North,Sydney - Eastern Suburbs,Major Cities of Australia,-33.871698,151.251993
1362,1362,Currambena School,205 Longueville Road,Lane Cove,2066,Primary,Co-ed,Independent,Non-Systemic,Other,,0,,Non special,Primary,http://www.currambena.nsw.edu.au,Lane Cove (A),Lane Cove,North Sydney,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,Major Cities of Australia,-33.820807,151.170301
1363,1363,Danebank School,84-98 Park Rd & 75 Queens Rd,Hurstville,2220,Combined,Female,Independent,Systemic,Anglican,,16718,Anglican Schools System Sydney,Non special,Combined,http://www.danebank.nsw.edu.au,Hurstville (C),Kogarah,Barton,Hurstville,Sydney - Inner South West,Major Cities of Australia,-33.962508,151.102756
1365,1365,De La Salle College,24 Bland St,Ashfield,2131,Secondary,Male,Catholic,Systemic,Catholic (Roman),Sydney,4101,Catholic System NSW,Non special,Secondary,http://www.dlsashfield.com.au/,Ashfield (A),Summer Hill,Grayndler,Strathfield - Burwood - Ashfield,Sydney - Inner West,Major Cities of Australia,-33.885212,151.125366
1366,1366,La Salle Catholic College,544 Chapel Rd,Bankstown,2200,Secondary,Co-ed,Catholic,Systemic,Catholic (Roman),Sydney,4101,Catholic System NSW,Non special,Secondary,http://www.lasalle.nsw.edu.au,Bankstown (C),Bankstown,Blaxland,Bankstown,Sydney - Inner South West,Major Cities of Australia,-33.90808,151.034897
1367,1367,"De La Salle Catholic College, Caringbah",389 Port Hacking Road,Caringbah,2229,Secondary,Male,Catholic,Systemic,Catholic (Roman),Sydney,4101,Catholic System NSW,Non special,Secondary,http://dlscaringbah.catholic.edu.au,Sutherland Shire (A),Cronulla,Cook,Cronulla - Miranda - Caringbah,Sydney - Sutherland,Major Cities of Australia,-34.045089,151.122439
1373,1373,De La Salle College,9 Ferndale Road,Revesby Heights,2212,Secondary,Male,Catholic,Systemic,Catholic (Roman),Sydney,4101,Catholic System NSW,Non special,Secondary,http://dlsrevesby.catholic.edu.au,Bankstown (C),East Hills,Banks,Bankstown,Sydney - Inner South West,Major Cities of Australia,-33.963329,151.015616
1375,1375,Mackillop College,Gorman'S Hill Road,Bathurst,2795,Secondary,Female,Catholic,Systemic,Catholic (Roman),Bathurst,4101,Catholic System NSW,Non special,Secondary,http://mackillopcollege.com.au,Bathurst Regional (A),Bathurst,Calare,Bathurst,Central West,Inner Regional Australia,-33.432524,149.588284
1378,1378,Domremy Catholic College,121 First Avenue,Five Dock,2046,Secondary,Female,Catholic,Systemic,Catholic (Roman),Sydney,4101,Catholic System NSW,Non special,Secondary,http://www.domremy.catholic.edu.au/,Canada Bay (A),Drummoyne,Reid,Canada Bay,Sydney - Inner West,Major Cities of Australia,-33.869709,151.132909
1379,1379,Edmund Rice College,112 Mount Keira Road,Wollongong West,2500,Secondary,Male,Independent,Non-Systemic,Catholic (Roman),,0,,Non special,Secondary,http://www.edmundricecollege.nsw.edu.au/,Wollongong (C),Keira,Cunningham,Wollongong,Illawarra,Major Cities of Australia,-34.419125,150.863596
1380,1380,Elonera Montessori School,21 Mount Ousley Road,Mount Ousley,2519,Combined,Co-ed,Independent,Non-Systemic,Montessori School,,0,,Non special,Combined,http://www.eloneramontessori.com.au,Wollongong (C),Keira,Cunningham,Wollongong,Illawarra,Major Cities of Australia,-34.407737,150.887415
1381,1381,Frensham School,Range Road,Mittagong,2575,Secondary,Female,Independent,Non-Systemic,Non-Denominational,,0,,Non special,Secondary,http://www.frensham.nsw.edu.au,Wingecarribee (A),Wollondilly,Whitlam,Southern Highlands,Southern Highlands and Shoalhaven,Inner Regional Australia,-34.452408,150.452321
1382,1382,Gib Gate School,Old Bowral Rd,Mittagong,2575,Primary,Co-ed,Independent,Non-Systemic,Non-Denominational,,0,,Non special,Primary,http://www.gibgate.nsw.edu.au,Wingecarribee (A),Wollondilly,Whitlam,Southern Highlands,Southern Highlands and Shoalhaven,Inner Regional Australia,-34.454371,150.429814
1383,1383,Glenaeon Rudolf Steiner School,5A Glenroy Avenue,Middle Cove,2068,Combined,Co-ed,Independent,Non-Systemic,Steiner School,,0,,Non special,Combined,http://www.glenaeon.nsw.edu.au,Willoughby (C),Willoughby,North Sydney,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,Major Cities of Australia,-33.791479,151.208694
1384,1384,St Augustine's Parish Primary School,10 Dandaloo St,Narromine,2821,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Wilcannia-Forbe,4101,Catholic System NSW,Non special,Primary,http://www.narromine.catholic.edu.au,Narromine (A),Dubbo,Parkes,Dubbo,Far West and Orana,Outer Regional Australia,-32.227799,148.239866
1387,1387,Holy Cross College,517 Victoria Road,Ryde,2112,Secondary,Male,Catholic,Systemic,Catholic (Roman),Sydney,4101,Catholic System NSW,Non special,Secondary,http://www.holycrosscollege.org,Ryde (C),Lane Cove,Bennelong,Ryde - Hunters Hill,Sydney - Ryde,Major Cities of Australia,-33.819607,151.117446
1388,1388,Holy Cross Catholic Primary School,81 Edgecliff Road,Woollahra,2022,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Sydney,4101,Catholic System NSW,Non special,Primary,http://www.hcpswoollahra.catholic.edu.au,Woollahra (A),Vaucluse,Wentworth,Eastern Suburbs - North,Sydney - Eastern Suburbs,Major Cities of Australia,-33.889857,151.251985
