school_code,AgeID,school_name,street,town_suburb,postcode,student_number,indigenous_pct,lbote_pct,ICSEA_Value,level_of_schooling,selective_school,opportunity_class,school_specialty_type,school_subtype,support_classes,preschool_ind,distance_education,intensive_english_centre,school_gender,phone,school_email,fax,late_opening_school,date_1st_teacher,lga,electorate,fed_electorate,operational_directorate,principal_network,facs_district,local_health_district,aecg_region,ASGS_remoteness,latitude,longitude,date_extracted
1001,4402,Abbotsford Public School,350 Great North Rd,Abbotsford ,2046,602,np,38,1127,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9713 6220,abbotsford-p.school@det.nsw.edu.au,9712 1825,N,1/4/25,Canada Bay (A),Drummoyne,Reid,Ultimo,Strathfield,"South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.852728,151.131206,7/3/17
1002,9333,Aberdeen Public School,Segenhoe St,Aberdeen,2336,241,10,4,917,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6543 7271,aberdeen-p.school@det.nsw.edu.au,6543 7712,N,1864-02-01,Upper Hunter Shire (A),Upper Hunter,New England,Tamworth & Coffs Harbour,Wollemi,Hunter New England & Central Coast,Hunter New England,Hunter,Inner Regional Australia,-32.166098,150.888095,7/3/17
1003,9299,Abermain Public School,Goulburn St,Abermain ,2326,264,22,np,887,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4930 4210,abermain-p.school@det.nsw.edu.au,4930 4319,N,1/8/05,Cessnock (C),Cessnock,Paterson,Tamworth & Coffs Harbour,Hunter,Hunter New England & Central Coast,Hunter New England,Hunter,Major Cities of Australia,-32.80892,151.426499,7/3/17
1007,10425,Adaminaby Public School,9 Cosgrove Street,Adaminaby,2629,17,0,0,973,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6454 2265,adaminaby-p.school@det.nsw.edu.au,6454 2552,N,1869-01-01,Snowy River (A),Monaro,Eden-Monaro,Dubbo & Wagga Wagga,Queanbeyan,Illawarra Shoalhaven & Southern NSW,Southern NSW,Lower South Coast,Outer Regional Australia,-35.993292,148.776721,7/3/17
1008,9043,Adamstown Public School,Bryant St,Adamstown ,2289,263,5,11,1024,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4957 1114,adamstown-p.school@det.nsw.edu.au,4956 2446,N,1877-07-01,Newcastle (C),Newcastle,Newcastle,Tamworth & Coffs Harbour,Newcastle,Hunter New England & Central Coast,Hunter New England,Hunter,Major Cities of Australia,-32.932213,151.730971,7/3/17
1009,10667,Adelong Public School,Gilmore St,Adelong ,2729,81,np,0,966,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6946 2053,adelong-p.school@det.nsw.edu.au,6946 2199,N,1860-03-01,Tumut Shire (A),Wagga Wagga,Eden-Monaro,Dubbo & Wagga Wagga,Cootamundra,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Inner Regional Australia,-35.312333,148.062802,7/3/17
1015,10020,Albion Park Public School,Tongarra & Hamilton Rds,Albion Park ,2527,435,8,5,977,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4256 1244,albionpk-p.school@det.nsw.edu.au,4256 4160,N,1872-07-01,Shellharbour (C),Kiama,Whitlam,Dubbo & Wagga Wagga,Wollongong,Illawarra Shoalhaven & Southern NSW,Illawarra Shoalhaven,Upper South Coast,Major Cities of Australia,-34.570257,150.77262,7/3/17
1016,9357,Timbumburi Public School,542 Kia Ora Lane,Timbumburi ,2340,144,13,np,995,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6767 0232,timbumburi-p.school@det.nsw.edu.au,6767 0245,N,1/2/11,Tamworth Regional (A),Tamworth,New England,Tamworth & Coffs Harbour,Tamworth,Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-31.203781,150.915629,7/3/17
1017,10441,Albury Public School,481 David St,Albury ,2640,612,4,15,1055,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,02 6021 3849,albury-p.school@det.nsw.edu.au,02 6041 1265,N,1850-07-01,Albury (C),Albury,Farrer,Dubbo & Wagga Wagga,Albury,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Inner Regional Australia,-36.082454,146.919253,7/3/17
1019,10442,Albury West Public School,Mott St,Albury ,2640,118,30,np,866,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6021 2288,alburywest-p.school@det.nsw.edu.au,6041 3783,N,1/1/36,Albury (C),Albury,Farrer,Dubbo & Wagga Wagga,Albury,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Inner Regional Australia,-36.07783,146.895548,7/3/17
