id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,area,local_government_area,timezone,bordering_location_ids
1,Aarons Pass,,NSW,New South Wales,2850,Rural locality,-32.86328,149.80375,804,22,82.764,Mid-Western Regional (Area),Australia/Sydney,2468/2569/3488/3503/6325
2,Abba River,,WA,Western Australia,6280,Rural locality,-33.68488,115.46334,23,68,28.516,Busselton (City),Australia/Perth,6136/11620/13465/15038/15209
3,Abbey,Busselton,WA,Western Australia,6280,Suburb,-33.66077,115.25863,7,1275,2.644,Busselton (City),Australia/Perth,1784/6798/11994/13680
4,Abbeyard,,VIC,Victoria,3737,Rural locality,-36.96978,146.75244,415,0,327.501,Alpine (Shire),Australia/Melbourne,1916/3671/11546/11890/13747/14736
5,Abbeywood,,QLD,Queensland,4613,Rural locality,-26.10688,151.6288,429,23,35.035,South Burnett (Regional Council),Australia/Brisbane,7055/12325/12453/14466
6,Abbotsbury,Sydney,NSW,New South Wales,2176,Suburb,-33.87754,150.86777,80,4253,4.979,Fairfield (City),Australia/Sydney,1444/1567/2638/2639/4313/6227/14364
7,Abbotsford,Sydney,NSW,New South Wales,2046,Suburb,-33.85247,151.12945,24,5373,1.018,Canada Bay (Area),Australia/Sydney,2792/11655/13976
8,Abbotsford,,QLD,Queensland,4670,Rural locality,-24.84369,152.02491,75,3,85.764,Bundaberg (Regional Council),Australia/Brisbane,1895/3658/8827/14085/15051
9,Abbotsford,Melbourne,VIC,Victoria,3067,Suburb,-37.80329,145.00043,25,8184,1.741,Yarra (City),Australia/Melbourne,2891/3030/4250/4636/5946/6902/11365
10,Abbotsham,,TAS,Tasmania,7315,Rural locality,-41.21131,146.17558,102,95,8.155,Central Coast (Municipality),Australia/Hobart,4880/5037/12234/13525
11,Abels Bay,,TAS,Tasmania,7112,Rural locality,-43.23333,147.09803,21,126,5.211,Huon Valley (Municipality),Australia/Hobart,3764/4343/11187
12,Abercorn,,QLD,Queensland,4627,Rural locality,-25.13664,151.12935,200,46,94.273,North Burnett (Regional Council),Australia/Brisbane,3601/5293/6722/12907/14945/15132
13,Abercrombie,Bathurst,NSW,New South Wales,2795,Suburb,-33.38996,149.55047,661,1109,2.978,Bathurst Regional (Area),Australia/Sydney,4344/7737/14257
14,Abercrombie River,,NSW,New South Wales,2795,Rural locality,-33.91055,149.34763,757,22,127.17,Bathurst Regional (Area),Australia/Sydney,546/3260/3568/10648/13367/13381/13396
15,Aberdare,Cessnock,NSW,New South Wales,2325,Suburb,-32.8442,151.37651,95,2473,3.296,Cessnock (City),Australia/Sydney,2662/6801/9752
16,Aberdeen,,NSW,New South Wales,2336,Urban locality,-32.1624,150.89012,178,2084,41.633,Upper Hunter Shire (Area),Australia/Sydney,3717/6796/8344/9566/11592/11816/11882
17,Aberdeen,,TAS,Tasmania,7310,Rural locality,-41.24112,146.32449,108,229,4.229,Devonport (City),Australia/Hobart,32/4554/8421/12206/12256
18,Aberfeldie,Melbourne,VIC,Victoria,3040,Suburb,-37.75669,144.89626,44,3897,1.552,Moonee Valley (City),Australia/Melbourne,4529/4532/8202/8913
19,Aberfeldy,,VIC,Victoria,3825,Rural locality,-37.69657,146.36406,1076,0,10.832,Baw Baw (Shire),Australia/Melbourne,13071/13244
20,Aberfoyle,,NSW,New South Wales,2350,Rural locality,-30.24061,152.01293,1152,102,340.479,Armidale Regional (Area),Australia/Sydney,536/1790/7939/10265/12968/13973/14733
21,Aberfoyle Park,Adelaide,SA,South Australia,5159,Suburb,-35.07628,138.59372,187,11039,5.844,Onkaparinga (City),Australia/Adelaide,2681/4783/5874
22,Aberglasslyn,Maitland,NSW,New South Wales,2320,Suburb,-32.69466,151.53461,39,5401,6.216,Maitland (City),Australia/Sydney,212/8054/8430/10241/10242/11658
23,Abergowrie,,QLD,Queensland,4850,Rural locality,-18.47499,145.88579,53,438,306.265,Hinchinbrook (Shire),Australia/Brisbane,3640/3659/5026/7805/7923/13777
24,Abermain,Kurri Kurri - Weston,NSW,New South Wales,2326,Suburb,-32.81082,151.42867,34,2337,15.382,Cessnock (City),Australia/Sydney,2662/4431/7264/9752/10656/11370/11801/14327
25,Abernethy,,NSW,New South Wales,2325,Rural locality,-32.88324,151.39668,91,348,8.403,Cessnock (City),Australia/Sydney,4431/6801/7080/11159
26,Abingdon Downs,,QLD,Queensland,4892,Rural locality,-17.7998,143.43956,255,0,5052.028,Etheridge (Shire),Australia/Brisbane,190/1983/4885/5075/9323/11282/12509/12700
27,Abington,,NSW,New South Wales,2350,Rural locality,-30.29421,151.25027,740,12,174.314,Uralla (Area),Australia/Sydney,537/1522/2027/2330/13295/15137
28,Abington,,QLD,Queensland,4660,Rural locality,-25.20324,152.32893,61,60,19.565,Bundaberg (Regional Council),Australia/Brisbane,6229/6428/10062/11281
29,Acacia Creek,,NSW,New South Wales,2476,Rural locality,-28.37333,152.32088,607,42,6.212,Tenterfield (Area),Australia/Sydney,6959/7569
30,Acacia Gardens,Sydney,NSW,New South Wales,2763,Suburb,-33.73355,150.91371,87,3798,1.001,Blacktown (City),Australia/Sydney,5356/7025/10560/11115
31,Acacia Hills,,NT,Northern Territory,822,Rural locality,-12.79565,131.12295,38,694,127.309,Litchfield (Municipality),Australia/Darwin,3650/3726/4817/6266/7735/7744/8156/13786
32,Acacia Hills,,TAS,Tasmania,7306,Rural locality,-41.28049,146.32495,143,623,19.257,Kentish (Municipality),Australia/Hobart,17/752/7509/7849/8421/9966/11168/12206
33,Acacia Ridge,Brisbane,QLD,Queensland,4110,Suburb,-27.58963,153.02787,39,7429,8.664,Brisbane (City),Australia/Brisbane,120/304/3221/12574/12575/14502
34,Acheron,,VIC,Victoria,3714,Rural locality,-37.25243,145.70202,202,171,72.66,Murrindindi (Shire),Australia/Melbourne,110/7667/12686/13087/14371
35,Acland,,QLD,Queensland,4401,Rural locality,-27.3037,151.6911,444,32,38.179,Toowoomba (Regional Council),Australia/Brisbane,3849/5643/6081/6583/9401/11677/12005
36,Acton,Canberra,ACT,Australian Capital Territory,2601,Suburb,-35.28732,149.11213,556,2086,5.989,Unincorporated,Australia/Sydney,911/2369/10285/10547/13448/15108
37,Acton,Burnie - Somerset,TAS,Tasmania,7320,Suburb,-41.07007,145.89399,152,1349,0.954,Burnie (City),Australia/Hobart,3997/6096/11986/13555
38,Acton Park,Hobart,TAS,Tasmania,7170,Suburb,-42.86574,147.46989,103,2078,19.267,Clarence (City),Australia/Hobart,2313/2844/7510/9304/10234/11441/11494/11905
39,Acton Park,,WA,Western Australia,6280,Rural locality,-33.77704,115.37437,53,102,24.854,Busselton (City),Australia/Perth,2690/6653/11676/13871/15204
40,Ada,,VIC,Victoria,3833,Rural locality,-37.84087,145.84969,669,0,61.67,Baw Baw (Shire),Australia/Melbourne,4277/5068/8368/9965/11021
41,Adaminaby,,NSW,New South Wales,2629,Urban locality,-35.99735,148.76974,1022,301,356.496,Snowy Monaro Regional (Area),Australia/Sydney,235/1389/1657/4043/4957/7191/10295/11931/15078
42,Adams Estate,,VIC,Victoria,3984,Rural locality,-38.42519,145.53186,83,59,0.215,Bass Coast (Shire),Australia/Melbourne,5268/5548
43,Adamstown,Newcastle,NSW,New South Wales,2289,Suburb,-32.93254,151.72625,25,6044,3.071,Newcastle (City),Australia/Sydney,44/1775/5845/7192/8466/8467/9853
44,Adamstown Heights,Newcastle,NSW,New South Wales,2289,Suburb,-32.95098,151.7177,97,5299,2.394,Newcastle (City),Australia/Sydney,43/2699/6074/7192/7193/8466
45,Adamsvale,,WA,Western Australia,6375,Rural locality,-32.24941,117.72485,298,31,246.52,Corrigin (Shire),Australia/Perth,1143/2000/3315/7242/7276/11919/13887
46,Adare,,QLD,Queensland,4343,Rural locality,-27.52154,152.28656,122,873,39.049,Lockyer Valley (Regional Council),Australia/Brisbane,5033/7351/11386/12262/13727
47,Adavale,,QLD,Queensland,4474,Rural locality,-25.9119,144.70107,285,93,21354.757,Quilpie (Shire),Australia/Brisbane,1222/3144/4510/6273/6427/6615/7470/11147/11836
48,Addington,,VIC,Victoria,3352,Rural locality,-37.38446,143.67251,464,71,18.596,Ballarat (City),Australia/Melbourne,4499/7546/9090/14134/14155
